61996CJ0149,Judgment of the Court of 23 November 1999,,  Portuguese Republic v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-149/96,ECLI identifier: ECLI:EU:C:1999:574,03/05/1996,23/11/1999,Portugal,Kapteyn,Saggio,TXTL
61996CJ0159,Judgment of the Court (Sixth Chamber) of 19 November 1998,Sixth Chamber,  Portuguese Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-159/96,ECLI identifier: ECLI:EU:C:1998:550,10/05/1996,19/11/1998,Portugal,Kapteyn,Saggio,TXTL
