61992CJ0320,Judgment of the Court (Second Chamber) of 15 December 1994,Second Chamber,  Società Finanziaria Siderurgica Finsider SpA (in liquidation) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-320/92 P,ECLI identifier: ECLI:EU:C:1994:414,28/07/1992,15/12/1994,Italy,Murray,Darmon,CECA
61992CJ0128,Judgment of the Court of 13 April 1994,,  H,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-128/92,ECLI identifier: ECLI:EU:C:1994:130,17/04/1992,13/04/1994,United Kingdom,Mancini,Van Gerven,CECA
61992CJ0099,Judgment of the Court (Fifth Chamber) of 24 February 1994,Fifth Chamber,  Terni SpA and Italsider SpA v Cassa Conguaglio per il Settore Elettrico,  Reference for a preliminary ruling: Consiglio di Stato - Italy,  State aid - Interpretation of Decision Nº 83/396/ECSC - Determination of the beneficiaries of aid - Validity of Decision Nº 83/396/ECSC - Principle of equal treatment of public and private undertakings,  Case C-99/92,ECLI identifier: ECLI:EU:C:1994:69,27/03/1992,24/02/1994,Italy,Joliet,Gulmann,CECA
61992CJ0100,Judgment of the Court (Fifth Chamber) of 24 February 1994,Fifth Chamber,  Fonderia A,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-100/92,ECLI identifier: ECLI:EU:C:1994:70,27/03/1992,24/02/1994,Italy,Joliet,Gulmann,CECA
61991CJ0220,Judgment of the Court of 18 May 1993,,  Commission of the European Communities v Stahlwerke Peine-Salzgitter AG,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-220/91 P,ECLI identifier: ECLI:EU:C:1993:192,03/09/1991,18/05/1993,Germany,Grévisse,Gulmann,CECA
61988CJ0363,Judgment of the Court of 30 January 1992,,  Finanziaria Siderurgica Finsider SpA (in liquidation); Italsider SpA (in liquidation) and Societa Acciaierie e Ferriere Lombarde Falck SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-363/88 and C-364/88,ECLI identifier: ECLI:EU:C:1992:44,14/12/1988,30/01/1992,Italy,Grévisse,Van Gerven,CECA
61988CJ0180,Judgment of the Court (Sixth Chamber) of 6 December 1990,Sixth Chamber,  Wirtschaftsvereinigung Eisen- und Stahlindustrie v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-180/88,ECLI identifier: ECLI:EU:C:1990:441,01/07/1988,06/12/1990,Germany,Kapteyn,Darmon,CECA
61988CJ0221,Judgment of the Court of 22 February 1990,,  European Coal and Steel Community v Acciaierie e Ferriere Busseni SpA (in liquidation),  Reference for a preliminary ruling: Tribunale di Brescia - Italy,  ECSC - Article 41 of the ECSC Treaty - Debts in respect of levies on the production of coal and steel,  Case C-221/88,ECLI identifier: ECLI:EU:C:1990:84,04/08/1988,22/02/1990,Italy,Grévisse,Mischo,CECA
61987CJ0381,Judgment of the Court (Fourth Chamber) of 23 November 1989,Fourth Chamber,  Hoogovens Groep BV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-381/87,ECLI identifier: ECLI:EU:C:1989:592,22/12/1987,23/11/1989,Netherlands,Kakouris,Tesauro,CECA
61987CJ0218,Judgment of the Court (Sixth Chamber) of 14 June 1989,Sixth Chamber,  Hoogovens Groep BV and Federacciai (Federazione imprese siderurgiche italiane) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 218/87; 223/87; 72/88 and 92/88,ECLI identifier: ECLI:EU:C:1989:240,15/07/1987,14/06/1989,Netherlands; Italy,Schockweiler,Lenz,CECA
