61981CJ0004,Judgment of the Court (Second Chamber) of 25 November 1981,Second Chamber,  Hauptzollamt Flensburg v Hermann C,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 4/81,ECLI identifier: ECLI:EU:C:1981:280,12/01/1981,25/11/1981,Germany,Pescatore,Reischl,ALCO
61980CJ0142,Judgment of the Court of 27 May 1981,,  Amministrazione delle Finanze dello Stato v Essevi SpA and Carlo Salengo,  References for a preliminary ruling: Corte d'appello di Milano - Italy,  System of taxation applicable to spirits,  Joined cases 142 and 143/80,ECLI identifier: ECLI:EU:C:1981:121,12/06/1980,27/05/1981,Italy,Pescatore,Capotorti,ALCO
61980CJ0153,Judgment of the Court (Second Chamber) of 7 May 1981,Second Chamber,  Rumhaus Hansen GmbH & Co v Hauptzollamt Flensburg,  Reference for a preliminary ruling: Finanzgericht Hamburg - Germany,  Tax arrangements applicable to spirits - Charging of reduced taxes,  Case 153/80,ECLI identifier: ECLI:EU:C:1981:98,27/06/1980,07/05/1981,Germany,Pescatore,Reischl,ALCO
61980CJ0027,Judgment of the Court of 16 December 1980,,  Criminal proceedings against Anton Adriaan Fietje,  Reference for a preliminary ruling: Arrondissementsrechtbank Assen - Netherlands,  Mandatory description of alcoholic beverages,  Case 27/80,ECLI identifier: ECLI:EU:C:1980:293,18/01/1980,16/12/1980,Netherlands,Due,Mayras,ALCO
61980CJ0026,Judgment of the Court (Second Chamber) of 30 October 1980,Second Chamber,  Schneider-Import GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 26/80,ECLI identifier: ECLI:EU:C:1980:257,17/01/1980,30/10/1980,Germany,Pescatore,Reischl,ALCO
61978CJ0152,Judgment of the Court of 10 July 1980,,  Commission of the European Communities v French Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 152/78,ECLI identifier: ECLI:EU:C:1980:187,06/07/1978,10/07/1980,France,Pescatore,Reischl,ALCO
61979CJ0087,Judgment of the Court (Third Chamber) of 20 March 1980,Third Chamber,  Gebrüder Bagusat KG v Hauptzollamt Berlin-Packhof ; Einkaufsgesellschaft der Deutschen Konservenindustrie mbH v Hauptzollamt Hamburg-Waltershof and Hauptzollamt Bad Reichenhall,  References for a preliminary ruling: Bundesfinanzhof - Germany,  Common customs tariff; cherries put up in a mixture of water and alcohol,  Joined cases 87; 112 and 113/79,ECLI identifier: ECLI:EU:C:1980:88,31/05/1979,20/03/1980,Germany,Mackenzie Stuart,Reischl,ALCO
61979CJ0055,Judgment of the Court of 27 February 1980,,  Commission of the European Communities v Ireland,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 55/79,ECLI identifier: ECLI:EU:C:1980:56,09/04/1979,27/02/1980,Ireland,Pescatore,Reischl,ALCO
61978CJ0169,Judgment of the Court of 27 February 1980,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 169/78,ECLI identifier: ECLI:EU:C:1980:52,07/08/1978,27/02/1980,Italy,Pescatore,Reischl,ALCO
61978CJ0171,Judgment of the Court of 27 February 1980,,  Commission of the European Communities v Kingdom of Denmark,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 171/78,ECLI identifier: ECLI:EU:C:1980:54,07/08/1978,27/02/1980,Denmark,Pescatore,Reischl,ALCO
61978CJ0168,Judgment of the Court of 27 February 1980,,  Commission of the European Communities v French Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 168/78,ECLI identifier: ECLI:EU:C:1980:51,07/08/1978,27/02/1980,France,Pescatore,Reischl,ALCO
61979CJ0068,Judgment of the Court of 27 February 1980,,  Hans Just I/S v Danish Ministry for Fiscal Affairs,  Reference for a preliminary ruling: Østre Landsret - Denmark,  Tax arrangements applicable to spirits,  Case 68/79,ECLI identifier: ECLI:EU:C:1980:57,26/04/1979,27/02/1980,Denmark,Pescatore,Reischl,ALCO
61978CJ0002,Judgment of the Court of 16 May 1979,,  Commission of the European Communities v Kingdom of Belgium,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 2/78,ECLI identifier: ECLI:EU:C:1979:128,03/01/1978,16/05/1979,Belgium,Mackenzie Stuart,Reischl,ALCO
61978CJ0119,Judgment of the Court of 13 March 1979,,  SA des grandes distilleries Peureux v Directeur des Services fiscaux de la Haute-Saône et du territoire de Belfort,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 119/78,ECLI identifier: ECLI:EU:C:1979:66,19/05/1978,13/03/1979,France,Mertens de Wilmars,Mayras,ALCO
61978CJ0086,Judgment of the Court of 13 March 1979,,  SA des grandes distilleries Peureux v directeur des Services fiscaux de la Haute-Saône et du territoire de Belfort,  Reference for a preliminary ruling: Tribunal de grande instance de Lure - France,  French alcohol monopoly,  Case 86/78,ECLI identifier: ECLI:EU:C:1979:64,28/03/1978,13/03/1979,France,Mertens de Wilmars,Mayras,ALCO
61978CJ0091,Judgment of the Court of 13 March 1979,,  Hansen GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 91/78,ECLI identifier: ECLI:EU:C:1979:65,12/04/1978,13/03/1979,Germany,Pescatore,Capotorti,ALCO
61978CJ0120,Judgment of the Court of 20 February 1979,,  Rewe-Zentral AG v Bundesmonopolverwaltung für Branntwein,  Reference for a preliminary ruling: Hessisches Finanzgericht - Germany,  Measures heaving an effect equivalent to quantitative restrictions,  Case 120/78,ECLI identifier: ECLI:EU:C:1979:42,22/05/1978,20/02/1979,Germany,Pescatore,Capotorti,ALCO
61975CJ0037,Judgment of the Court of 11 November 1975,,  Bagusat KG v Hauptzollamt Berlin-Packhof,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 37-75,ECLI identifier: ECLI:EU:C:1975:146,15/04/1975,11/11/1975,Germany,Mackenzie Stuart,Mayras,ALCO
61973CJ0185,Judgment of the Court of 29 May 1974,,  Hauptzollamt Bielefeld v Offene Handelsgesellschaft in Firma H,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 185-73,ECLI identifier: ECLI:EU:C:1974:61,03/12/1973,29/05/1974,Germany,Mackenzie Stuart,Trabucchi,ALCO
61962CJ0024,Judgment of the Court of 4 July 1963,,  Federal Republic of Germany v Commission of the European Economic Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 24-62,ECLI identifier: ECLI:EU:C:1963:14,26/07/1962,04/07/1963,Germany,Lecourt,Roemer,ALCO
