62007CJ0443,Judgment of the Court (Second Chamber) of 22 December 2008,Second Chamber,  Isabel Clara Centeno Mediavilla and Others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-443/07 P,ECLI identifier: ECLI:EU:C:2008:767,21/09/2007,22/12/2008,,Toader,Sharpston,STAT
62007CJ0198,Judgment of the Court (Fourth Chamber) of 22 December 2008,Fourth Chamber,  Donal Gordon v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-198/07 P,ECLI identifier: ECLI:EU:C:2008:761,06/04/2007,22/12/2008,,Juhász,Bot,STAT
62007CJ0016,Judgment of the Court (Fourth Chamber) of 9 October 2008,Fourth Chamber,  Marguerite Chetcuti v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-16/07 P,ECLI identifier: ECLI:EU:C:2008:549,18/01/2007,09/10/2008,,Juhász,Bot,STAT
62007CJ0071,Judgment of the Court (Second Chamber) of 17 July 2008,Second Chamber,  Franco Campoli v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-71/07 P,ECLI identifier: ECLI:EU:C:2008:424,08/02/2007,17/07/2008,,Toader,Mengozzi,STAT
62007CJ0017,Judgment of the Court (Third Chamber) of 28 February 2008,Third Chamber,  Wineke Neirinck v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-17/07 P,ECLI identifier: ECLI:EU:C:2008:134,18/01/2007,28/02/2008,,Arabadjiev,Mazák,STAT
62006CJ0348,Judgment of the Court (Third Chamber) of 21 February 2008,Third Chamber,  Commission of the European Communities v Marie-Claude Girardot,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-348/06 P,ECLI identifier: ECLI:EU:C:2008:107,17/08/2006,21/02/2008,,Ó Caoimh,Mengozzi,STAT
62006CJ0449,Judgment of the Court (Fourth Chamber) of 14 February 2008,Fourth Chamber,  Sophiane Gysen v Groupe S-Caisse d’Assurances sociales pour indépendants,  Reference for a preliminary ruling: Tribunal du travail de Bruxelles - Belgium,  Officials - Remuneration - Staff Regulations - Family allowances - Calculation of the amount of national family allowances - Determination of the ranking of the children - Child giving rise to entitlement to family allowances under the Staff Regulations,  Case C-449/06,ECLI identifier: ECLI:EU:C:2008:90,06/11/2006,14/02/2008,Belgium,Juhász,Mengozzi,STAT
62007CJ0103,Judgment of the Court (Seventh Chamber) of 31 January 2008,Seventh Chamber,  Angel Angelidis v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-103/07 P,ECLI identifier: ECLI:EU:C:2008:66,21/02/2007,31/01/2008,,Arabadjiev,Ruiz-Jarabo Colomer,STAT
62006CJ0211,Judgment of the Court (Eighth Chamber) of 24 January 2008,Eighth Chamber,  Herta Adam v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-211/06 P,ECLI identifier: ECLI:EU:C:2008:34,08/05/2006,24/01/2008,,Malenovský,Bot,STAT
62006CJ0135,Judgment of the Court (Second Chamber) of 18 December 2007,Second Chamber,  Roderich Weißenfels v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-135/06 P,ECLI identifier: ECLI:EU:C:2007:812,10/03/2006,18/12/2007,,Bonichot,Kokott,STAT
